StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,age,gender,gender_4_TEXT,race,race_6_TEXT,pol_view,pol_party,slb_1,slb_2,slb_3,slb_4,slb_5,slb_6,slb_7,slb_8,slb_9,slb_10,slb_11,slb_12,attn_check_1,Q3,Q4,Q5,Q7,Q8,Q9,Q10,Q19,Q20,Q21,Q23,Q24,Q25,Q26,awb_1,awb_2,awb_3,awb_4,awb_5,awb_6,awb_7,awb_8,attn_check_2,rac_prog,issues,separate,condition
12/3/18 20:55,12/3/18 20:56,0,100,90,1,12/3/18 20:56,R_3qNVKfeL0NnF2GM,,,,,anonymous,EN,25,2,,5,,3,4,7,5,5,6,3,4,3,3,4,6,4,5,7,,,,,,,,Article on racial progress ,4,7,2,2,2,4,6,5,6,2,6,3,3,4,6,5,No,,treatment
12/3/18 20:56,12/3/18 20:58,0,100,107,1,12/3/18 20:58,R_2D8Offh2r2n0nf7,,,,,anonymous,EN,28,2,,5,,3,2,3,6,5,4,5,2,2,6,6,3,3,4,7,,,,,,,,article ,4,7,4,3,1,4,5,5,5,3,5,3,3,7,,5,No,,treatment
12/3/18 20:58,12/3/18 21:00,0,100,102,1,12/3/18 21:00,R_3hluOlPr1nO2eVn,,,,,anonymous,EN,29,3,,5,,5,3,4,4,6,5,5,4,4,6,4,5,6,3,7,article,5,3,3,3,2,4,,,,,,,,5,3,5,5,2,5,3,7,,5,no,,control
12/3/18 21:19,12/3/18 21:20,0,100,73,1,12/3/18 21:20,R_1Eh7qEghyLNW9Re,,,,,anonymous,EN,25,3,,5,,5,3,4,4,6,6,3,3,7,6,3,5,5,3,7,1,4,3,2,2,1,7,,,,,,,,4,2,5,2,5,7,5,5,,5,No,4,control
11/29/18 0:48,11/29/18 0:53,0,58,301,0,12/4/18 18:26,R_1F2Q0ehQsJl15xy,,,,,anonymous,EN,44,1,,5,,7,7,6,6,2,4,6,6,3,1,5,5,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
12/4/18 18:15,12/4/18 18:16,0,12,21,0,12/4/18 18:26,R_2QKVQ2ErKw3inig,,,,,anonymous,EN,25,2,,5,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,treatment
12/4/18 19:01,12/4/18 19:05,0,100,237,1,12/4/18 19:05,R_py3zKlGSqJSPFJL,,,,,anonymous,EN,30,1,,5,,1,2,1,1,7,7,2,4,7,7,1,1,7,7,7,"The relatively new teams, the Jets, have achieved great success in the National Swimming League. They have gone from underdog to league leaders.",6,5,2,1,1,6,,,,,,,,2,2,7,2,1,1,1,7,,5,no issues,2,control
12/4/18 19:00,12/4/18 19:05,0,100,275,1,12/4/18 19:05,R_3KNoUzzAGDhE2Dj,,,,,anonymous,EN,34,2,,5,,6,6,1,6,2,4,1,4,7,6,4,5,4,5,7,,,,,,,,"Rise of Minorities in America.
",5,4,1,2,2,4,5,4,4,4,7,5,6,5,,5,No at all,5,treatment
12/4/18 19:00,12/4/18 19:05,0,100,281,1,12/4/18 19:05,R_11cjeZijR6Rq6gO,,,,,anonymous,EN,41,1,,5,,3,3,3,3,7,7,1,5,5,6,2,1,7,6,7,The Jets are the real deal. They are taking the swimming world by storm and look to be some of the favorites in the 2020 Olympics.,5,5,2,1,1,6,,,,,,,,,4,1,5,1,4,5,1,,4,none,5,control
12/4/18 19:01,12/4/18 19:05,0,100,291,1,12/4/18 19:05,R_3nwvNoEkcGIZ8jL,,,,,anonymous,EN,23,1,,5,,3,3,6,5,5,1,5,5,3,4,5,5,4,3,7,,,,,,,,That African Americans and Latinos have made social progress and are involved in more areas then they were previously. ,4,5,1,4,2,4,4,6,1,4,4,4,4,4,,5,n/a,5,treatment
12/4/18 19:00,12/4/18 19:05,0,100,300,1,12/4/18 19:05,R_2fDrjO3xSMNuyLk,,,,,anonymous,EN,51,2,,4,,5,5,4,5,5,5,5,4,6,5,3,3,6,4,7,,,,,,,,minorities are able to gain higher positions and power ,5,4,1,2,1,4,4,4,1,5,5,3,3,4,,6,no,4,treatment
12/4/18 19:00,12/4/18 19:06,0,100,329,1,12/4/18 19:06,R_2To7wOVsKMJFVXy,,,,,anonymous,EN,26,2,,5,,4,3,1,1,7,7,1,1,7,7,2,3,6,5,7,,,,,,,,"Minorities are rising to the top, it's no longer just the whites at the top.",6,3,1,3,1,4,5,5,1,7,1,7,5,1,,4,No issues,5,treatment
12/4/18 19:02,12/4/18 19:06,0,100,247,1,12/4/18 19:06,R_0lJ7TPiGXaRDG4F,,,,,anonymous,EN,25,1,,5,,6,6,7,7,1,1,7,7,1,1,7,7,1,1,7,,,,,,,,Minorities are rising in power around the world. Race won't be a determining factor by 2030.,4,4,1,3,1,5,5,5,1,7,6,4,5,1,,7,No issues.,1,treatment
12/4/18 19:03,12/4/18 19:09,0,100,334,1,12/4/18 19:09,R_270Pe5lA0nJ7W4i,,,,,anonymous,EN,30,1,,5,,3,3,6,6,2,5,6,6,5,6,4,3,6,3,7,The Jets is a swimming team that will be qualifying for the US Olympics in 2020.  They are superior to team Torpedo as they excel in all forms of swimming.,5,6,2,1,1,6,,,,,,,,6,2,1,7,1,5,6,2,,6,none,7,control
12/4/18 19:04,12/4/18 19:11,0,100,426,1,12/4/18 19:11,R_1lsFZ7lRC5gz2rr,,,,,anonymous,EN,38,2,,5,,1,1,5,1,7,6,4,5,5,7,6,2,7,7,7,,,,,,,,"Minorities (non-whites) have seen increases in college education,  starting salaries and status. By 2030 whites will not have the status and opportunists they appear to have currently due to their rce",5,6,1,3,1,4,1,2,6,5,2,1,1,7,,6,no,4,treatment
12/4/18 19:01,12/4/18 19:12,0,100,607,1,12/4/18 19:12,R_2ONM5ax8ztSoIdc,,,,,anonymous,EN,36,1,,5,,2,3,4,3,7,6,2,4,6,6,2,2,6,7,7,,,,,,,,"The article claims that recently, racial minorities are doing a lot better in America. It cites some powerful racial minorities like Obama and Sotomayor. It then gives some stats about racial minorities getting into college more and having higher incomes. It then states that if trends continue race will no longer be a factor in America by 2030. I am highly suspect of this entire article.",6,8,1,3,1,7,2,1,5,4,2,2,1,6,,6,"No issues, no problems.",1,treatment
12/4/18 19:01,12/4/18 19:12,0,100,634,1,12/4/18 19:12,R_1KuVPqtCLENIoO9,,,,,anonymous,EN,50,1,,5,,6,6,4,4,5,6,7,5,4,4,3,2,3,4,7,"The Jets, a swim team from the Northwest, are winning a great deal of gold and silver medals outdoing the Torpedoes while contending for top spots at the next Olympic.  Sports Illustrated is covering them extensively.",5,5,2,1,1,6,,,,,,,,7,5,2,5,3,3,4,2,,5,No.,7,control
12/4/18 19:07,12/4/18 19:12,0,100,297,1,12/4/18 19:12,R_2zUAnRlKkWGYQsU,,,,,anonymous,EN,24,2,,5,,7,7,6,7,2,2,7,7,1,1,7,7,1,1,7,,,,,,,,The article basically says that Blacks are complaining about nothing because conditions compared to whites are almost the same for the same education/qualifications. Basically it says that Blacks should stop whining about it. ,3,6,1,3,1,6,7,7,1,7,4,7,7,1,,7,"No, I think I like your study. ",3,treatment
12/4/18 19:02,12/4/18 19:12,0,100,602,1,12/4/18 19:12,R_1FkSirQCFjPYSoJ,,,,,anonymous,EN,57,1,,5,,2,2,2,2,7,7,3,3,6,6,1,1,7,7,7,"The Jets, after being seen as the underdogs of the National Swimming League for a time, have now rallied, and are quickly gaining the lead in all the swimming competitions. This year they have even surpassed the Torpedo, last year's champions. Surprisingly, the Jets are excelling in all three strokes, which is rare for a swimming team. If things continue to improve, the Jets might be the team representing the US in the 2020 Olympics.",5,7,2,1,1,6,,,,,,,,2,2,5,3,3,2,2,5,,5,n/a,7,control
12/4/18 19:06,12/4/18 19:13,0,100,414,1,12/4/18 19:13,R_1rc378FPKsIx5aj,,,,,anonymous,EN,47,2,,5,,2,1,1,1,7,7,4,4,7,7,1,1,7,7,7,"A new team to the National Swimming League, the Jets, have outperformed other dominant teams, among them, the Torpedoes. Unlike other teams, the Jets are strong in all strokes and have won several medals. It's possible that the U.S. Olympic team will be all Jets members this time around.",6,6,2,1,1,6,,,,,,,,1,1,5,2,2,1,1,6,,2,No issues at all.,7,control
12/4/18 19:07,12/4/18 19:14,0,100,410,1,12/4/18 19:14,R_1FnalMO6oTYa1YH,,,,,anonymous,EN,34,2,,5,,1,2,4,5,7,7,4,2,7,7,1,1,4,7,7,The jets are starting to come ahead and excel in more than one swimming stroke. They could be as good if not better than the USA. The team is making great strides,6,3,2,1,1,6,,,,,,,,1,1,5,2,1,2,1,7,,2,no,4,control
12/4/18 19:17,12/4/18 19:22,0,100,291,1,12/4/18 19:22,R_2zYEZtjNIqYPiyx,,,,,anonymous,EN,30,1,,5,,5,6,2,2,6,7,4,4,4,5,1,2,5,6,7,The underdog Jets won another swim meet. They are said to be shaking up the swimming establishment. They are doing extremely well,6,5,2,1,1,6,,,,,,,,4,4,1,4,5,3,4,1,,7,no,7,control
12/4/18 19:18,12/4/18 19:27,0,100,572,1,12/4/18 19:28,R_bg9Pn6Iaxd1XY6B,,,,,anonymous,EN,31,1,,5,,6,5,4,5,4,6,5,5,5,4,5,5,5,6,7,,,,,,,,"This article described the growing prominence of minorities in american society. It went in to notable figure of color and how in the near future, those once to be thought of as a minority will now be the majority in this country.",5,4,1,3,1,5,6,5,1,5,4,5,5,5,,6,No,1,treatment
12/4/18 19:16,12/4/18 19:28,0,100,764,1,12/4/18 19:28,R_1ILOSr3KFiK7pdK,,,,,anonymous,EN,28,1,,5,,5,5,3,5,5,5,5,5,5,5,4,4,3,3,7,,,,,,,,The social power of ethnic minorities in America is increasing. Minorities are better able to rise to positions of power in this country.,4,3,1,3,1,4,6,4,2,5,4,4,5,2,,5,No issues.,2,treatment
12/4/18 19:20,12/4/18 19:32,0,100,708,1,12/4/18 19:32,R_1gA5guuUHxxTAex,,,,,anonymous,EN,29,1,,5,,1,1,5,3,3,2,4,4,5,5,7,1,7,7,7,"A swim team, the Jets, is doing quite well. In fact, they've exceeded all reasonable expectations. Folks are quite pleased with their performance and have speculated about the future.",5,6,1,1,1,6,,,,,,,,2,1,2,4,5,1,5,2,,3,no,7,control
12/4/18 19:28,12/4/18 19:36,0,100,465,1,12/4/18 19:36,R_1r7m14uOiZGsxVj,,,,,anonymous,EN,35,2,,5,,3,2,3,3,7,7,2,3,6,5,2,3,5,6,7,,,,,,,,"It said that if things continue as they have been in recent decades, by 2030, race will no longer be such a big factor in social status. Minorites have made gains in income and educational level, while whites have not, so those factors are becoming less significant. They have also made gains in high status occupations and have increased social status in that way.",5,7,1,3,1,5,5,4,2,7,5,5,5,2,,5,no,5,treatment
12/4/18 19:28,12/4/18 19:37,0,100,517,1,12/4/18 19:37,R_3lsGhxV3Ckt2nAt,,,,,anonymous,EN,45,1,,5,,2,2,2,1,7,2,3,1,7,5,1,1,6,7,7,"Newcomers to the NSL the Jets, have surpassed last years champions in gold and silver medals. They have been named swimming's greatest success story by sports illustrated. According to some they will represent the USA in the Olympics in 2020.",5,6,2,1,1,5,,,,,,,,1,2,6,2,5,1,1,3,,2,No issues.,5,control
12/4/18 19:42,12/4/18 19:50,0,100,503,1,12/4/18 19:50,R_1dFwXcDgmJeHvLX,,,,,anonymous,EN,32,1,,5,,3,3,2,2,7,5,4,4,7,4,2,2,5,7,7,"Relative newcomers and underdogs, the Jets of the National Swimming League have outperformed their competitors and claimed top honors in the breast, back and butterfly strokes.  Sports Illustrated labeled them the greatest success story in swimming and some commentators even think that the Jets will most likely represent USA in the 2020 Olympics",5,5,2,1,1,6,,,,,,,,5,4,2,4,5,4,4,2,,6,No,6,control
12/4/18 20:03,12/4/18 20:17,0,100,869,1,12/4/18 20:17,R_3nADOeGV15YM8oV,,,,,anonymous,EN,29,1,,5,,4,4,5,4,7,6,5,6,5,5,4,4,3,4,7,A swimming team that were previously underdogs are now very good. They are the best in multiple categories and are winning championships.,5,7,2,1,1,6,,,,,,,,4,5,3,5,5,5,2,2,,4,.,6,control
12/4/18 20:17,12/4/18 20:24,0,100,434,1,12/4/18 20:24,R_3Rxr0H73bb7S2Nk,,,,,anonymous,EN,27,1,,5,,4,4,5,5,4,5,5,5,5,3,4,3,4,5,7,,,,,,,,Minorities are doing better than ever in the US. They are enrolling in college and occuping powerful positions in the US.,5,5,1,3,1,5,4,2,2,5,5,3,4,3,,5,Nope!,2,treatment
12/4/18 21:03,12/4/18 21:07,0,100,260,1,12/4/18 21:07,R_b9ObzfAq9Kd8mJj,,,,,anonymous,EN,33,2,,5,,1,1,2,3,6,7,5,5,7,7,1,1,6,7,7,,,,,,,,Because minorities are better off than they used to be within a few years it will be like discrimination doesn't exist!,8,1,1,3,1,3,1,1,7,2,1,1,1,5,,6,Nope,1,treatment
12/4/18 21:23,12/4/18 21:27,0,100,256,1,12/4/18 21:27,R_2Y4b9wcR4xDewnM,,,,,anonymous,EN,22,1,,5,,4,4,7,6,7,7,6,7,6,7,7,1,6,6,7,,,,,,,,"Minorities are on the rise in America. Racial minorities have made quite significant social progress. They've managed to rise on all standards of success, like income an power.",6,6,1,3,1,6,1,1,7,1,1,4,1,7,,6,No issues.,2,treatment
12/4/18 21:21,12/4/18 21:28,0,100,439,1,12/4/18 21:28,R_7PeBAfJrauT3QoF,,,,,anonymous,EN,52,1,,5,,2,2,2,2,6,6,2,2,6,6,1,1,5,6,7,"The article was about how the Jets, a swim team, are dominating in breaststroke, backstroke, and the butterfly.  They have now surpassed the previous champion, Torpedo.  They are also expected to outperform in the upcoming qualifiers for the US National Team.",6,6,2,1,1,6,,,,,,,,1,2,7,2,4,4,1,6,,5,I didn't run into any issues with the survey.,6,control
12/4/18 21:14,12/4/18 21:40,0,100,1549,1,12/4/18 21:40,R_OfhKJY9b81rX5W9,,,,,anonymous,EN,34,1,,5,,3,2,5,3,6,6,6,6,6,5,5,3,4,6,7,The underdogs jets are the surprise of the season.Their style of swimming is revolutionary,5,5,2,1,1,5,,,,,,,,3,3,6,3,2,4,2,3,,5,none,5,control
12/4/18 21:52,12/4/18 21:56,0,100,245,1,12/4/18 21:56,R_2Y5s5qxDK8dUuPH,,,,,anonymous,EN,26,1,,5,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,"The Jets is a new swim team that is on the fast track to success. They beat the previous year's championship team, and are rare in that they excel in multiple types of swimming style.",5,5,2,1,1,5,,,,,,,,4,4,4,4,4,4,4,4,,4,"Stop using attention checks that force people to not answer a question, without being able to deselect it. It's ridiculous to think that an accidental click cannot be fixed without being forced to restart.",1,control
12/4/18 21:56,12/4/18 22:03,0,100,454,1,12/4/18 22:03,R_31KNcRwCBu41C9A,,,,,anonymous,EN,32,2,,5,,3,3,7,6,1,2,7,7,3,1,1,4,1,1,7,,,,,,,,"It's about minorites moving up  in society. Not only economically but also socially. By 2030 whites no longer be ""privilaged"" compared to other ethnic groups. ",4,4,1,3,1,6,5,4,1,7,3,5,5,1,,5,no,1,treatment
12/4/18 22:03,12/4/18 22:05,0,100,128,1,12/4/18 22:05,R_2ZOfBbbUa5trm4U,,,,,anonymous,EN,25,1,,5,,1,1,2,1,7,6,1,2,6,6,2,1,7,6,7,,,,,,,,Whites no longer occupy a state of privelege among other social groups.,6,6,1,3,1,5,1,1,7,1,1,1,1,7,,7,none,1,treatment
12/4/18 22:01,12/4/18 22:06,0,100,296,1,12/4/18 22:06,R_2c6ZBRU6UaTRjnQ,,,,,anonymous,EN,27,1,,5,,4,5,2,3,7,7,7,6,4,6,4,3,3,4,7,,,,,,,,"Blacks and other minority groups have improved their social positions in recent years, and have occupied numerous positions of power. They have increased their college enrollment rates by 50% and the income of those who graduate has improved by 10%. This indicates that whites have no special social privilege and in the near future race won't affect social status at all.",5,4,1,3,1,5,7,7,1,7,5,7,7,1,,7,nope,2,treatment
12/4/18 22:02,12/4/18 22:08,0,100,373,1,12/4/18 22:08,R_24I8P0hQu10vVPK,,,,,anonymous,EN,27,1,,5,,2,2,4,5,3,5,7,7,5,4,4,3,3,5,7,i already kind of forgot most of it. it was about a swimming team.,3,3,1,3,1,3,,,,,,,,3,3,3,4,4,3,3,4,,5,n/a,4,control
12/4/18 22:04,12/4/18 22:12,0,100,431,1,12/4/18 22:12,R_1NCj17DtSx6WeJZ,,,,,anonymous,EN,44,2,,5,,4,3,3,2,7,6,3,3,6,5,2,2,6,6,7,"The Jets are the leading swim team in the country, which is surprising, since they are newcomers and were not expected to perform as well as they have. They have even done better than the leading swim teams and excel at a variety of different swim methods, whereas most teams only excel at one. It's considered likely that they will be the top swim team of the year.",6,5,2,1,1,6,,,,,,,,3,3,5,3,2,2,2,5,,2,I did not encounter any problems during the survey. Everything worked fine.,2,control
12/4/18 22:12,12/4/18 22:21,0,100,501,1,12/4/18 22:21,R_2zpwgisLPRsgwcg,,,,,anonymous,EN,35,1,,5,,5,5,2,5,6,7,5,7,6,2,4,3,4,5,7,,,,,,,,"The article talks about the rise of minorities in America. The author gave examples of minorities holding various positions of power. The author then indicated college enrollment of blacks and latinos have increased. Furthermore, incomes of minorities have also increased. The author then concluded that race should no longer be an issue by 2030.",6,4,1,3,1,5,5,5,1,7,5,4,4,1,,5,No issues.,2,treatment
12/4/18 22:20,12/4/18 22:28,0,100,474,1,12/4/18 22:28,R_1fa9bYX1LqmZCwc,,,,,anonymous,EN,39,1,,5,,1,1,2,2,7,7,5,5,7,6,1,1,7,7,7,,,,,,,,Racial inequality in America is a thing of past. Black Americans now make even greater progress than white Americans. Soon we will all be equal.,3,1,1,3,1,6,3,3,3,3,2,2,1,3,,6,No.,1,treatment
12/4/18 22:48,12/4/18 22:53,0,100,312,1,12/4/18 22:53,R_3ozprdpTd4sJ6jm,,,,,anonymous,EN,27,1,,5,,2,2,4,3,5,6,3,4,6,5,4,1,5,7,7,The Jets have had a good year in the National Swim League.  They surprised and surpassed all expectations of pundits.  They now enjoy newfound enthusiasm and fame among critics and fans.,4,3,2,1,1,4,,,,,,,,3,3,4,4,5,3,2,4,,3,N/A,4,control